Term,Rate
8.21917808219178E-03,4.54987915146139E-02
0.50958904109589,4.29552655603947E-02
0.758904109589041,4.17258907763972E-02
1.00821917808219,4.08650997691168E-02
2.00547945205479,3.76047794988516E-02
3.00547945205479,0.035472422080862
4.00547945205479,3.45446448951083E-02
5.01369863013698,3.43354634619382E-02
6.01643835616438,3.41561980496475E-02
7.01095890410958,3.41282990197467E-02
10.0109589041095,3.39129608868415E-02
12.0164383561643,3.41577564847593E-02
15.0136986301369,3.42065950400006E-02

